Domain,MCP_URL,Endpoint_Type
admove.ai,https://mcp.admove.ai/.well-known/mcp-server,Standard
admove.ai,https://admove.ai/.well-known/mcp-server,Root
admove.ai,https://api.admove.ai/mcp,API
adology.ai,https://mcp.adology.ai/.well-known/mcp-server,Standard
adology.ai,https://adology.ai/.well-known/mcp-server,Root
adology.ai,https://api.adology.ai/mcp,API
adologyai.com,https://mcp.adologyai.com/.well-known/mcp-server,Standard
adologyai.com,https://adologyai.com/.well-known/mcp-server,Root
adologyai.com,https://api.adologyai.com/mcp,API
adomik.com,https://mcp.adomik.com/.well-known/mcp-server,Standard
adomik.com,https://adomik.com/.well-known/mcp-server,Root
adomik.com,https://api.adomik.com/mcp,API
adomni.com,https://mcp.adomni.com/.well-known/mcp-server,Standard
adomni.com,https://adomni.com/.well-known/mcp-server,Root
adomni.com,https://api.adomni.com/mcp,API
adopt.ai,https://mcp.adopt.ai/.well-known/mcp-server,Standard
adopt.ai,https://adopt.ai/.well-known/mcp-server,Root
adopt.ai,https://api.adopt.ai/mcp,API
adp.com,https://mcp.adp.com/.well-known/mcp-server,Standard
adp.com,https://adp.com/.well-known/mcp-server,Root
adp.com,https://api.adp.com/mcp,API
adplenty.io,https://mcp.adplenty.io/.well-known/mcp-server,Standard
adplenty.io,https://adplenty.io/.well-known/mcp-server,Root
adplenty.io,https://api.adplenty.io/mcp,API
adplist.org,https://mcp.adplist.org/.well-known/mcp-server,Standard
adplist.org,https://adplist.org/.well-known/mcp-server,Root
adplist.org,https://api.adplist.org/mcp,API
adscale.com,https://mcp.adscale.com/.well-known/mcp-server,Standard
adscale.com,https://adscale.com/.well-known/mcp-server,Root
adscale.com,https://api.adscale.com/mcp,API
adsgency.ai,https://mcp.adsgency.ai/.well-known/mcp-server,Standard
adsgency.ai,https://adsgency.ai/.well-known/mcp-server,Root
adsgency.ai,https://api.adsgency.ai/mcp,API
adsimple.at,https://mcp.adsimple.at/.well-known/mcp-server,Standard
adsimple.at,https://adsimple.at/.well-known/mcp-server,Root
adsimple.at,https://api.adsimple.at/mcp,API
adthena.com,https://mcp.adthena.com/.well-known/mcp-server,Standard
adthena.com,https://adthena.com/.well-known/mcp-server,Root
adthena.com,https://api.adthena.com/mcp,API
advally.com,https://mcp.advally.com/.well-known/mcp-server,Standard
advally.com,https://advally.com/.well-known/mcp-server,Root
advally.com,https://api.advally.com/mcp,API
advancio.io,https://mcp.advancio.io/.well-known/mcp-server,Standard
advancio.io,https://advancio.io/.well-known/mcp-server,Root
advancio.io,https://api.advancio.io/mcp,API
adverteyes.ai,https://mcp.adverteyes.ai/.well-known/mcp-server,Standard
adverteyes.ai,https://adverteyes.ai/.well-known/mcp-server,Root
adverteyes.ai,https://api.adverteyes.ai/mcp,API
adyntel.com,https://mcp.adyntel.com/.well-known/mcp-server,Standard
adyntel.com,https://adyntel.com/.well-known/mcp-server,Root
adyntel.com,https://api.adyntel.com/mcp,API
adzen.ai,https://mcp.adzen.ai/.well-known/mcp-server,Standard
adzen.ai,https://adzen.ai/.well-known/mcp-server,Root
adzen.ai,https://api.adzen.ai/mcp,API
adzgroup.net,https://mcp.adzgroup.net/.well-known/mcp-server,Standard
adzgroup.net,https://adzgroup.net/.well-known/mcp-server,Root
adzgroup.net,https://api.adzgroup.net/mcp,API
aeroventures.com,https://mcp.aeroventures.com/.well-known/mcp-server,Standard
aeroventures.com,https://aeroventures.com/.well-known/mcp-server,Root
aeroventures.com,https://api.aeroventures.com/mcp,API
aevo.xyz,https://mcp.aevo.xyz/.well-known/mcp-server,Standard
aevo.xyz,https://aevo.xyz/.well-known/mcp-server,Root
aevo.xyz,https://api.aevo.xyz/mcp,API
affinda.com,https://mcp.affinda.com/.well-known/mcp-server,Standard
affinda.com,https://affinda.com/.well-known/mcp-server,Root
affinda.com,https://api.affinda.com/mcp,API
affinitasdmcc.com,https://mcp.affinitasdmcc.com/.well-known/mcp-server,Standard
affinitasdmcc.com,https://affinitasdmcc.com/.well-known/mcp-server,Root
affinitasdmcc.com,https://api.affinitasdmcc.com/mcp,API
affinity.co,https://mcp.affinity.co/.well-known/mcp-server,Standard
affinity.co,https://affinity.co/.well-known/mcp-server,Root
affinity.co,https://api.affinity.co/mcp,API
affinityanswers.com,https://mcp.affinityanswers.com/.well-known/mcp-server,Standard
affinityanswers.com,https://affinityanswers.com/.well-known/mcp-server,Root
affinityanswers.com,https://api.affinityanswers.com/mcp,API
affise.com,https://mcp.affise.com/.well-known/mcp-server,Standard
affise.com,https://affise.com/.well-known/mcp-server,Root
affise.com,https://api.affise.com/mcp,API
africadigitalconnect.net,https://mcp.africadigitalconnect.net/.well-known/mcp-server,Standard
africadigitalconnect.net,https://africadigitalconnect.net/.well-known/mcp-server,Root
africadigitalconnect.net,https://api.africadigitalconnect.net/mcp,API
afriex.com,https://mcp.afriex.com/.well-known/mcp-server,Standard
afriex.com,https://afriex.com/.well-known/mcp-server,Root
afriex.com,https://api.afriex.com/mcp,API
agency.inc,https://mcp.agency.inc/.well-known/mcp-server,Standard
agency.inc,https://agency.inc/.well-known/mcp-server,Root
agency.inc,https://api.agency.inc/mcp,API
agent.ai,https://mcp.agent.ai/.well-known/mcp-server,Standard
agent.ai,https://agent.ai/.well-known/mcp-server,Root
agent.ai,https://api.agent.ai/mcp,API
agentic-data.com,https://mcp.agentic-data.com/.well-known/mcp-server,Standard
agentic-data.com,https://agentic-data.com/.well-known/mcp-server,Root
agentic-data.com,https://api.agentic-data.com/mcp,API
agenticflow.ai,https://mcp.agenticflow.ai/.well-known/mcp-server,Standard
agenticflow.ai,https://agenticflow.ai/.well-known/mcp-server,Root
agenticflow.ai,https://api.agenticflow.ai/mcp,API
agentmail.to,https://mcp.agentmail.to/.well-known/mcp-server,Standard
agentmail.to,https://agentmail.to/.well-known/mcp-server,Root
agentmail.to,https://api.agentmail.to/mcp,API
agicap.com,https://mcp.agicap.com/.well-known/mcp-server,Standard
agicap.com,https://agicap.com/.well-known/mcp-server,Root
agicap.com,https://api.agicap.com/mcp,API
agora.io,https://mcp.agora.io/.well-known/mcp-server,Standard
agora.io,https://agora.io/.well-known/mcp-server,Root
agora.io,https://api.agora.io/mcp,API
agorapulse.com,https://mcp.agorapulse.com/.well-known/mcp-server,Standard
agorapulse.com,https://agorapulse.com/.well-known/mcp-server,Root
agorapulse.com,https://api.agorapulse.com/mcp,API
agrex.ai,https://mcp.agrex.ai/.well-known/mcp-server,Standard
agrex.ai,https://agrex.ai/.well-known/mcp-server,Root
agrex.ai,https://api.agrex.ai/mcp,API
agrexai.com,https://mcp.agrexai.com/.well-known/mcp-server,Standard
agrexai.com,https://agrexai.com/.well-known/mcp-server,Root
agrexai.com,https://api.agrexai.com/mcp,API
agrisafe.agr.br,https://mcp.agrisafe.agr.br/.well-known/mcp-server,Standard
agrisafe.agr.br,https://agrisafe.agr.br/.well-known/mcp-server,Root
agrisafe.agr.br,https://api.agrisafe.agr.br/mcp,API
aguiarinjurylawyers.com,https://mcp.aguiarinjurylawyers.com/.well-known/mcp-server,Standard
aguiarinjurylawyers.com,https://aguiarinjurylawyers.com/.well-known/mcp-server,Root
aguiarinjurylawyers.com,https://api.aguiarinjurylawyers.com/mcp,API
ahaslides.com,https://mcp.ahaslides.com/.well-known/mcp-server,Standard
ahaslides.com,https://ahaslides.com/.well-known/mcp-server,Root
ahaslides.com,https://api.ahaslides.com/mcp,API
aheadcomputing.com,https://mcp.aheadcomputing.com/.well-known/mcp-server,Standard
aheadcomputing.com,https://aheadcomputing.com/.well-known/mcp-server,Root
aheadcomputing.com,https://api.aheadcomputing.com/mcp,API
ahoikapptn.com,https://mcp.ahoikapptn.com/.well-known/mcp-server,Standard
ahoikapptn.com,https://ahoikapptn.com/.well-known/mcp-server,Root
ahoikapptn.com,https://api.ahoikapptn.com/mcp,API
aibox.ai,https://mcp.aibox.ai/.well-known/mcp-server,Standard
aibox.ai,https://aibox.ai/.well-known/mcp-server,Root
aibox.ai,https://api.aibox.ai/mcp,API
aico.swiss,https://mcp.aico.swiss/.well-known/mcp-server,Standard
aico.swiss,https://aico.swiss/.well-known/mcp-server,Root
aico.swiss,https://api.aico.swiss/mcp,API
aidentified.com,https://mcp.aidentified.com/.well-known/mcp-server,Standard
aidentified.com,https://aidentified.com/.well-known/mcp-server,Root
aidentified.com,https://api.aidentified.com/mcp,API
aiims.group,https://mcp.aiims.group/.well-known/mcp-server,Standard
aiims.group,https://aiims.group/.well-known/mcp-server,Root
aiims.group,https://api.aiims.group/mcp,API
aimfox.com,https://mcp.aimfox.com/.well-known/mcp-server,Standard
aimfox.com,https://aimfox.com/.well-known/mcp-server,Root
aimfox.com,https://api.aimfox.com/mcp,API
airbridge.io,https://mcp.airbridge.io/.well-known/mcp-server,Standard
airbridge.io,https://airbridge.io/.well-known/mcp-server,Root
airbridge.io,https://api.airbridge.io/mcp,API
airframe.ai,https://mcp.airframe.ai/.well-known/mcp-server,Standard
airframe.ai,https://airframe.ai/.well-known/mcp-server,Root
airframe.ai,https://api.airframe.ai/mcp,API
airpay.co.in,https://mcp.airpay.co.in/.well-known/mcp-server,Standard
airpay.co.in,https://airpay.co.in/.well-known/mcp-server,Root
airpay.co.in,https://api.airpay.co.in/mcp,API
airsaas.io,https://mcp.airsaas.io/.well-known/mcp-server,Standard
airsaas.io,https://airsaas.io/.well-known/mcp-server,Root
airsaas.io,https://api.airsaas.io/mcp,API
airtable.com,https://mcp.airtable.com/.well-known/mcp-server,Standard
airtable.com,https://airtable.com/.well-known/mcp-server,Root
airtable.com,https://api.airtable.com/mcp,API
airwallex.com,https://mcp.airwallex.com/.well-known/mcp-server,Standard
airwallex.com,https://airwallex.com/.well-known/mcp-server,Root
airwallex.com,https://api.airwallex.com/mcp,API
aiseo.ai,https://mcp.aiseo.ai/.well-known/mcp-server,Standard
aiseo.ai,https://aiseo.ai/.well-known/mcp-server,Root
aiseo.ai,https://api.aiseo.ai/mcp,API
aislelabs.com,https://mcp.aislelabs.com/.well-known/mcp-server,Standard
aislelabs.com,https://aislelabs.com/.well-known/mcp-server,Root
aislelabs.com,https://api.aislelabs.com/mcp,API
aitomatic.com,https://mcp.aitomatic.com/.well-known/mcp-server,Standard
aitomatic.com,https://aitomatic.com/.well-known/mcp-server,Root
aitomatic.com,https://api.aitomatic.com/mcp,API
aivideo.com,https://mcp.aivideo.com/.well-known/mcp-server,Standard
aivideo.com,https://aivideo.com/.well-known/mcp-server,Root
aivideo.com,https://api.aivideo.com/mcp,API
ajlanbros-holding.com,https://mcp.ajlanbros-holding.com/.well-known/mcp-server,Standard
ajlanbros-holding.com,https://ajlanbros-holding.com/.well-known/mcp-server,Root
ajlanbros-holding.com,https://api.ajlanbros-holding.com/mcp,API
akamai.com,https://mcp.akamai.com/.well-known/mcp-server,Standard
akamai.com,https://akamai.com/.well-known/mcp-server,Root
akamai.com,https://api.akamai.com/mcp,API
akiflow.com,https://mcp.akiflow.com/.well-known/mcp-server,Standard
akiflow.com,https://akiflow.com/.well-known/mcp-server,Root
akiflow.com,https://api.akiflow.com/mcp,API
akua.la,https://mcp.akua.la/.well-known/mcp-server,Standard
akua.la,https://akua.la/.well-known/mcp-server,Root
akua.la,https://api.akua.la/mcp,API
alaimolabs.com,https://mcp.alaimolabs.com/.well-known/mcp-server,Standard
alaimolabs.com,https://alaimolabs.com/.well-known/mcp-server,Root
alaimolabs.com,https://api.alaimolabs.com/mcp,API
alamah.om,https://mcp.alamah.om/.well-known/mcp-server,Standard
alamah.om,https://alamah.om/.well-known/mcp-server,Root
alamah.om,https://api.alamah.om/mcp,API
alchemy.com,https://mcp.alchemy.com/.well-known/mcp-server,Standard
alchemy.com,https://alchemy.com/.well-known/mcp-server,Root
alchemy.com,https://api.alchemy.com/mcp,API
alegra.com,https://mcp.alegra.com/.well-known/mcp-server,Standard
alegra.com,https://alegra.com/.well-known/mcp-server,Root
alegra.com,https://api.alegra.com/mcp,API
aleluya.com,https://mcp.aleluya.com/.well-known/mcp-server,Standard
aleluya.com,https://aleluya.com/.well-known/mcp-server,Root
aleluya.com,https://api.aleluya.com/mcp,API
alex.com,https://mcp.alex.com/.well-known/mcp-server,Standard
alex.com,https://alex.com/.well-known/mcp-server,Root
alex.com,https://api.alex.com/mcp,API
algoed.co,https://mcp.algoed.co/.well-known/mcp-server,Standard
algoed.co,https://algoed.co/.well-known/mcp-server,Root
algoed.co,https://api.algoed.co/mcp,API
algolia.com,https://mcp.algolia.com/.well-known/mcp-server,Standard
algolia.com,https://algolia.com/.well-known/mcp-server,Root
algolia.com,https://api.algolia.com/mcp,API
aljassar.com,https://mcp.aljassar.com/.well-known/mcp-server,Standard
aljassar.com,https://aljassar.com/.well-known/mcp-server,Root
aljassar.com,https://api.aljassar.com/mcp,API
allaboard.eu,https://mcp.allaboard.eu/.well-known/mcp-server,Standard
allaboard.eu,https://allaboard.eu/.well-known/mcp-server,Root
allaboard.eu,https://api.allaboard.eu/mcp,API
allbridge.io,https://mcp.allbridge.io/.well-known/mcp-server,Standard
allbridge.io,https://allbridge.io/.well-known/mcp-server,Root
allbridge.io,https://api.allbridge.io/mcp,API
allcore.it,https://mcp.allcore.it/.well-known/mcp-server,Standard
allcore.it,https://allcore.it/.well-known/mcp-server,Root
allcore.it,https://api.allcore.it/mcp,API
allears.ai,https://mcp.allears.ai/.well-known/mcp-server,Standard
allears.ai,https://allears.ai/.well-known/mcp-server,Root
allears.ai,https://api.allears.ai/mcp,API
allegrow.co,https://mcp.allegrow.co/.well-known/mcp-server,Standard
allegrow.co,https://allegrow.co/.well-known/mcp-server,Root
allegrow.co,https://api.allegrow.co/mcp,API
allianceabroad.com,https://mcp.allianceabroad.com/.well-known/mcp-server,Standard
allianceabroad.com,https://allianceabroad.com/.well-known/mcp-server,Root
allianceabroad.com,https://api.allianceabroad.com/mcp,API
alliontechnologies.ca,https://mcp.alliontechnologies.ca/.well-known/mcp-server,Standard
alliontechnologies.ca,https://alliontechnologies.ca/.well-known/mcp-server,Root
alliontechnologies.ca,https://api.alliontechnologies.ca/mcp,API
allium.so,https://mcp.allium.so/.well-known/mcp-server,Standard
allium.so,https://allium.so/.well-known/mcp-server,Root
allium.so,https://api.allium.so/mcp,API
allocate.co,https://mcp.allocate.co/.well-known/mcp-server,Standard
allocate.co,https://allocate.co/.well-known/mcp-server,Root
allocate.co,https://api.allocate.co/mcp,API
alloy.app,https://mcp.alloy.app/.well-known/mcp-server,Standard
alloy.app,https://alloy.app/.well-known/mcp-server,Root
alloy.app,https://api.alloy.app/mcp,API
allsides.com,https://mcp.allsides.com/.well-known/mcp-server,Standard
allsides.com,https://allsides.com/.well-known/mcp-server,Root
allsides.com,https://api.allsides.com/mcp,API
allunite.com,https://mcp.allunite.com/.well-known/mcp-server,Standard
allunite.com,https://allunite.com/.well-known/mcp-server,Root
allunite.com,https://api.allunite.com/mcp,API
alma.food,https://mcp.alma.food/.well-known/mcp-server,Standard
alma.food,https://alma.food/.well-known/mcp-server,Root
alma.food,https://api.alma.food/mcp,API
alo-tech.com,https://mcp.alo-tech.com/.well-known/mcp-server,Standard
alo-tech.com,https://alo-tech.com/.well-known/mcp-server,Root
alo-tech.com,https://api.alo-tech.com/mcp,API
alpaca.markets,https://mcp.alpaca.markets/.well-known/mcp-server,Standard
alpaca.markets,https://alpaca.markets/.well-known/mcp-server,Root
alpaca.markets,https://api.alpaca.markets/mcp,API
alpha.ac,https://mcp.alpha.ac/.well-known/mcp-server,Standard
alpha.ac,https://alpha.ac/.well-known/mcp-server,Root
alpha.ac,https://api.alpha.ac/mcp,API
alphavantage.co,https://mcp.alphavantage.co/.well-known/mcp-server,Standard
alphavantage.co,https://alphavantage.co/.well-known/mcp-server,Root
alphavantage.co,https://api.alphavantage.co/mcp,API
alpic.ai,https://mcp.alpic.ai/.well-known/mcp-server,Standard
alpic.ai,https://alpic.ai/.well-known/mcp-server,Root
alpic.ai,https://api.alpic.ai/mcp,API
alpy.com,https://mcp.alpy.com/.well-known/mcp-server,Standard
alpy.com,https://alpy.com/.well-known/mcp-server,Root
alpy.com,https://api.alpy.com/mcp,API
alterdomus.com,https://mcp.alterdomus.com/.well-known/mcp-server,Standard
alterdomus.com,https://alterdomus.com/.well-known/mcp-server,Root
alterdomus.com,https://api.alterdomus.com/mcp,API
altertable.ai,https://mcp.altertable.ai/.well-known/mcp-server,Standard
altertable.ai,https://altertable.ai/.well-known/mcp-server,Root
altertable.ai,https://api.altertable.ai/mcp,API
altfins.com,https://mcp.altfins.com/.well-known/mcp-server,Standard
altfins.com,https://altfins.com/.well-known/mcp-server,Root
altfins.com,https://api.altfins.com/mcp,API
altfndata.com,https://mcp.altfndata.com/.well-known/mcp-server,Standard
altfndata.com,https://altfndata.com/.well-known/mcp-server,Root
altfndata.com,https://api.altfndata.com/mcp,API
altios.ai,https://mcp.altios.ai/.well-known/mcp-server,Standard
altios.ai,https://altios.ai/.well-known/mcp-server,Root
altios.ai,https://api.altios.ai/mcp,API
altuspower.com,https://mcp.altuspower.com/.well-known/mcp-server,Standard
altuspower.com,https://altuspower.com/.well-known/mcp-server,Root
altuspower.com,https://api.altuspower.com/mcp,API
alvoradams.com.br,https://mcp.alvoradams.com.br/.well-known/mcp-server,Standard
alvoradams.com.br,https://alvoradams.com.br/.well-known/mcp-server,Root
alvoradams.com.br,https://api.alvoradams.com.br/mcp,API
amalgamrx.com,https://mcp.amalgamrx.com/.well-known/mcp-server,Standard
amalgamrx.com,https://amalgamrx.com/.well-known/mcp-server,Root
amalgamrx.com,https://api.amalgamrx.com/mcp,API
amarix.com,https://mcp.amarix.com/.well-known/mcp-server,Standard
amarix.com,https://amarix.com/.well-known/mcp-server,Root
amarix.com,https://api.amarix.com/mcp,API
amass.tech,https://mcp.amass.tech/.well-known/mcp-server,Standard
amass.tech,https://amass.tech/.well-known/mcp-server,Root
amass.tech,https://api.amass.tech/mcp,API
ambarpartners.com,https://mcp.ambarpartners.com/.well-known/mcp-server,Standard
ambarpartners.com,https://ambarpartners.com/.well-known/mcp-server,Root
ambarpartners.com,https://api.ambarpartners.com/mcp,API
amentum.io,https://mcp.amentum.io/.well-known/mcp-server,Standard
amentum.io,https://amentum.io/.well-known/mcp-server,Root
amentum.io,https://api.amentum.io/mcp,API
amityage.com,https://mcp.amityage.com/.well-known/mcp-server,Standard
amityage.com,https://amityage.com/.well-known/mcp-server,Root
amityage.com,https://api.amityage.com/mcp,API
ammp.io,https://mcp.ammp.io/.well-known/mcp-server,Standard
ammp.io,https://ammp.io/.well-known/mcp-server,Root
ammp.io,https://api.ammp.io/mcp,API
amove.io,https://mcp.amove.io/.well-known/mcp-server,Standard
amove.io,https://amove.io/.well-known/mcp-server,Root
amove.io,https://api.amove.io/mcp,API
amperity.com,https://mcp.amperity.com/.well-known/mcp-server,Standard
amperity.com,https://amperity.com/.well-known/mcp-server,Root
